brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,gpu_brand,gpu_type,display_size,resolution_width,resolution_height
lenovo,Lenovo IdeaPad Slim 3 82RK00VVIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),122806,53,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
dell,Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),199166,53,intel,core i5,10,8,SSD,1024,NONE,intel,integrated,15.6,1920,1080
acer,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),189206,72,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
acer,Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),175926,70,intel,core i5,8,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),302086,64,intel,core i7,14,16,SSD,1024,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),381766,72,intel,core i7,10,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
asus,Asus Chromebook CX1400CKA-EK0257 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),56406,37,intel,celeron,2,4,SSD,64,NONE,intel,integrated,14.0,1920,1080
asus,Asus Chromebook CX1400FKA-EC0158 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),85493,41,intel,celeron,2,4,SSD,64,NONE,intel,integrated,14.0,1920,1080
asus,Asus Chromebook CX1400CKA-EK0335 Laptop (Celeron N4500/ 4GB/ 128GB eMMC/ Chrome OS),63046,37,intel,celeron,2,4,SSD,128,NONE,intel,integrated,14.0,1920,1080
asus,Asus Vivobook 16 2023 X1605ZAB-MB322WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),148201,57,intel,core i3,6,8,SSD,512,NONE,intel,integrated,16.0,1920,1200
hp,HP 250 G9 7M659PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),147706,62,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1366,768
asus,Asus Chromebook CX1500CKA-EJ0275 Laptop (Celeron N4500/ 8GB/ 64GB eMMC/ Chrome OS),76330,37,intel,celeron,2,8,SSD,64,NONE,intel,integrated,15.6,1920,1080
gigabyte,Gigabyte G5 KF-E3IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),298766,73,intel,core i5,12,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 5 16IAH8 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),206470,63,intel,core i5,8,16,SSD,512,NONE,intel,integrated,16.0,1920,1200
asus,Asus Vivobook 16X K3605ZU-MBN742WS Laptop (12th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics),326913,72,intel,core i7,10,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
lenovo,Lenovo IdeaPad Flex 5 82Y0004YIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),195846,58,intel,core i3,6,8,SSD,512,NONE,intel,integrated,14.0,1920,1200
lenovo,Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),199830,59,intel,core i5,8,16,SSD,512,NONE,intel,integrated,14.0,1920,1080
fujitsu,Fujitsu UH-X 4ZR1M37246 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),245646,65,intel,core i5,10,16,SSD,512,NONE,intel,integrated,14.0,1920,1200
lenovo,Lenovo IdeaPad Slim 5 82XE0072IN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),213110,69,amd,ryzen 7,8,16,SSD,512,NONE,amd,integrated,14.0,1920,1200
lenovo,Lenovo IdeaPad Slim 3 82XQ008UIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),139406,58,amd,ryzen 5,4,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 3 82XQ0096IN Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),149366,60,amd,ryzen 5,4,16,SSD,512,NONE,amd,integrated,15.6,1920,1080
lenovo,Lenovo V15 G3 IAP 82TT004VIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),151026,56,intel,core i5,10,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus Vivobook 16X K3605ZC-MBN542WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),252286,65,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
asus,Asus Vivobook 16X K3605ZC-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),252286,66,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
asus,Asus Vivobook 16X K3605ZU-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics),313305,70,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,16.0,1920,1200
msi,MSI Thin GF63 11UC-1291IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),209126,71,intel,core i5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
lenovo,Lenovo Thinkpad E15 21E6S0W700 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),157666,65,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
msi,MSI Katana 15 B12UDXK-1004IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),315366,76,intel,core i7,10,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
acer,Acer TMP214-41-G3 UN.VSQSI.007 Notebook (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),122806,63,amd,ryzen 5,6,16,SSD,512,NONE,amd,integrated,14.0,1366,768
acer,Acer TMP214-41-G3 UN.VSQSI.006 Notebook (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),139406,60,amd,ryzen 5,6,8,SSD,512,NONE,amd,integrated,14.0,1366,768
asus,Asus VivoBook 15 X1504ZA-NJ326WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),135874,57,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus Vivobook Pro 15 OLED M6500QC-LK541WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),237712,62,amd,ryzen 5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook Go 14 2023 E1404FA-NK327WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),112846,56,amd,ryzen 3,4,8,SSD,512,NONE,amd,integrated,14.0,1920,1080
hp,HP Omen 16-xf0043AX Gaming Laptop (AMD Ryzen 9 7940HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),607526,78,amd,ryzen 9,8,32,SSD,1024,NONE,nvidia,dedicated,16.1,2560,1440
dell,Dell Vostro 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),124466,58,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
dell,Dell Inspiron 5430 IN54308DXWP001ORS1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),285486,57,intel,core i7,10,16,SSD,1024,NONE,intel,integrated,14.0,1920,1080
asus,Asus TUF Gaming F15 FX506HF-HN076W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),192526,69,intel,core i5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Victus 15-fb1018AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),192792,63,amd,ryzen 5,6,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
fujitsu,Fujitsu UH-X 4ZR1L73352 2-in-1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),365166,76,intel,core i7,12,16,SSD,1024,NONE,intel,integrated,14.0,1920,1200
hp,HP 15S-EQ1550AU Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ Win 11),106206,51,amd,ryzen 3,2,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
hp,HP Omen 16-wf0056TX 834U0PA Gaming Laptop (13th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 8 GB Graphics),507926,70,intel,core i7,16,16,SSD,512,NONE,nvidia,dedicated,16.1,1920,1080
lenovo,Lenovo IdeaPad Gaming 3i 82K101GTIN Laptop (11th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),195382,64,intel,core i5,4,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
dell,Dell Alienware x15 R2 D569947WIN9 Gaming Laptop (12th Gen Core i9/ 32 GB RAM/ 1 TB SSD/ Win 11/ 8 GB Graphics),741273,78,intel,core i9,14,32,SSD,1024,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook Pro 15 M6500QF-HN541WS Creator Laptop (AMD Ryzen 5 5600H/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),199166,63,amd,ryzen 5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 5 14IAH8 83BF0045IN Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),212446,60,intel,core i5,8,16,SSD,1024,NONE,intel,integrated,14.0,1920,1200
wings,Wings Nuvobook S2 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),89606,51,intel,core i3,4,8,SSD,512,NONE,intel,integrated,15.6,1080,1920
acer,Acer Aspire 3 Spin 14 NX.KENSI.002 Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),137746,45,intel,core i3,8,8,SSD,512,NONE,intel,integrated,14.0,1920,1200
lenovo,Lenovo IdeaPad Slim 5 16IRL8 82XF003GIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),233030,60,intel,core i5,12,16,SSD,512,NONE,intel,integrated,16.0,1920,1200
lenovo,Lenovo IdeaPad 3 15ITL6 82H803GSIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),121810,60,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
lenovo,Lenovo IdeaPad Slim 5 82XD003NIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),223070,62,intel,core i5,8,16,SSD,512,NONE,intel,integrated,14.0,1920,1200
infinix,Infinix INBook X3 Slim Series XL422 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),149366,57,intel,core i7,10,16,SSD,512,NONE,intel,integrated,14.0,1920,1080
